code|lat|lng|storecd|name|addr|star
3384|37.588658|126.943864|1193|홍제역|서울특별시 서대문구 통일로 451 (홍제동)|pin_general
3177|37.562644|126.937529|993|연세백양로|서울특별시 서대문구 연세로 50 (신촌동) 연세대학교|pin_general
3093|37.5702143|126.9339777|911|연희DT|서울특별시 서대문구 연희로 144 (연희동)|pin_generalDT
9363|37.56367995|126.9646045|33|경기대|서울특별시 서대문구 충정로 53 (충정로2가)|pin_general
9235|37.55648577|126.9371155|177|신촌|서울특별시 서대문구 연세로 10-1 (창천동)|pin_general
9100|37.55848315|126.9459643|149|이대R|서울특별시 서대문구 이화여대길 34 (대현동)|pin_reserve
9444|37.56177145|126.9414708|141|연세종합관|서울특별시 서대문구 연세로 50, 연세세브란스 종합관 (신촌동)|pin_general
9440|37.561631|126.947350|134|이대ECC|서울특별시 서대문구 이화여대길 52 (대현동) 이화여자대학교 B415호|pin_general
9639|37.558706|126.936727|443|연대|서울특별시 서대문구 연세로 35 (창천동)|pin_general
9601|37.556505|126.940238|403|신촌아트레온|서울특별시 서대문구 신촌로 129 (창천동)|pin_general
9679|37.56137|126.963219|487|충정로역|서울특별시 서대문구 충정로 23|pin_general
9650|37.566385|126.946273|453|연대동문|서울특별시 서대문구 성산로 565 (대신동)|pin_general
9530|37.557796|126.938095|353|신촌명물거리|서울특별시 서대문구 명물길 24, 1-5층 (창천동)|pin_general
9533|37.559869|126.964110|326|충정타워|서울특별시 서대문구 서소문로 21, 충정타워빌딩 1층 (충정로3가)|pin_general
3814|37.4793434|126.9994968|1550|방배로|서울특별시 서초구 방배로 52 (방배동)|pin_general
3606|37.503789|127.024075|1382|강남교보타워R|서울특별시 서초구 강남대로 465 (서초동)|pin_reserve
3576|37.484329|126.995872|1362|방배다이치빌딩|서울특별시 서초구 방배로 114 (방배동)|pin_general
3598|37.505148|127.004395|1353|센트럴F1|서울특별시 서초구 신반포로 176 (반포동)|pin_general
3534|37.487931|127.009126|1354|서초역이화빌딩|서울특별시 서초구 반포대로21길 3 (서초동)|pin_general
3545|37.484206|127.030103|1324|서초구청|서울특별시 서초구 남부순환로 2557 (서초동)|pin_general
3536|37.493545|127.029430|1301|서초우성사거리|서울특별시 서초구 강남대로 343 (서초동)|pin_general
3471|37.485850|126.983027|1236|이수역사거리|서울특별시 서초구 서초대로 3-4 (방배동, 방배디오슈페리움1)|pin_general
3402|37.514890|127.019469|1192|강남대로신사|서울특별시 서초구 강남대로 595 (잠원동)|pin_general
3433|37.504406|127.005648|1195|서울고속터미널|서울특별시 서초구 신반포로 194 (반포동)|pin_general
3419|37.507413|127.022568|1205|강남대로논현R|서울특별시 서초구 강남대로85길 5 (반포동)|pin_reserve
3204|37.491914|126.99049739999998|1013|방배|서울특별시 서초구 방배로 211|pin_general
3206|37.4934767|126.9865297|1024|방배카페거리|서울특별시 서초구 방배중앙로 162 (방배동)|pin_general
3294|37.492970|127.011875|1064|서초법원|서울특별시 서초구 서초대로 274 (서초동)|pin_general
3253|37.447323|127.056250|1051|청계산입구역|서울특별시 서초구 청계산로 203 (신원동)|pin_general
3153|37.4772752|126.98216049999996|970|사당로데오|서울특별시 서초구 방배천로 5-4(방배동)|pin_general
